path	disposition	boundary
control-plane/internal/api/agent_upgrade_integration_test.go	test-fixture	Explicit fixture driver/SQL; canonical Backend calls compile; not runtime wiring
control-plane/internal/api/approvals.go	common-boundary	No driver/raw SQL; internal dependencies: approvals, database, database/value, rbac, semanticpayload, useroperations
control-plane/internal/api/audit.go	common-boundary	No driver/raw SQL; internal dependencies: audit/auditstore, database/value
control-plane/internal/api/auth_handlers_test.go	test-fixture	Explicit fixture driver/SQL; canonical Backend calls compile; not runtime wiring
control-plane/internal/api/auth_limits.go	non-database	No internal persistence dependency, driver or raw SQL
control-plane/internal/api/auth_limits_test.go	test-fixture	Explicit fixture driver/SQL; canonical Backend calls compile; not runtime wiring
control-plane/internal/api/auth_logging_test.go	test-fixture	Explicit fixture driver/SQL; canonical Backend calls compile; not runtime wiring
control-plane/internal/api/authorization.go	common-boundary	No driver/raw SQL; internal dependencies: auth, database, rbac
control-plane/internal/api/authorization_integration_test.go	test-fixture	Explicit fixture driver/SQL; canonical Backend calls compile; not runtime wiring
control-plane/internal/api/certificates.go	common-boundary	No driver/raw SQL; internal dependencies: certificates, database, operations
control-plane/internal/api/configplans.go	common-boundary	No driver/raw SQL; internal dependencies: approvals, configplan, database, operations, rbac
control-plane/internal/api/enrollment.go	common-boundary	No driver/raw SQL; internal dependencies: approvals, enrollment, ownersession
control-plane/internal/api/event_streams.go	common-boundary	No driver/raw SQL; internal dependencies: auth, eventstream, localslice
control-plane/internal/api/local_account_limits_integration_test.go	test-fixture	Explicit fixture driver/SQL; canonical Backend calls compile; not runtime wiring
control-plane/internal/api/local_slice.go	common-boundary	No driver/raw SQL; internal dependencies: database, localslice
control-plane/internal/api/local_users.go	common-boundary	No driver/raw SQL; internal dependencies: approvals, auth, database
control-plane/internal/api/local_users_integration_test.go	test-fixture	Explicit fixture driver/SQL; canonical Backend calls compile; not runtime wiring
control-plane/internal/api/operations.go	common-boundary	No driver/raw SQL; internal dependencies: approvals, database, operations, semanticpayload, telemetry
control-plane/internal/api/privd_attestation.go	common-boundary	No driver/raw SQL; internal dependencies: privdattestation
control-plane/internal/api/rbac.go	common-boundary	No driver/raw SQL; internal dependencies: rbac, rbac/rbacstore
control-plane/internal/api/read_timeout_test.go	test-fixture	Explicit fixture driver/SQL; canonical Backend calls compile; not runtime wiring
control-plane/internal/api/rollouts.go	common-boundary	No driver/raw SQL; internal dependencies: approvals, database, operations
control-plane/internal/api/schema_compatibility_integration_test.go	test-fixture	Explicit fixture driver/SQL; canonical Backend calls compile; not runtime wiring
control-plane/internal/api/server.go	common-boundary	No driver/raw SQL; internal dependencies: approvals, audit, auth, browserorigin, certificates, configplan, database, enrollment, eventstream, localslice, operations, ownersession, privdattestation, rbac, releasecatalog, telemetry, transportclient, useroperations, userstate
control-plane/internal/api/server_test.go	test-fixture	Explicit fixture driver/SQL; canonical Backend calls compile; not runtime wiring
control-plane/internal/api/telemetry.go	common-boundary	No driver/raw SQL; internal dependencies: database, database/value, telemetry
control-plane/internal/api/telemetry_test.go	test-fixture	Explicit fixture driver/SQL; canonical Backend calls compile; not runtime wiring
control-plane/internal/api/useroperations.go	common-boundary	No driver/raw SQL; internal dependencies: approvals, database, rbac, useroperations
control-plane/internal/approvals/service.go	common-boundary	No driver/raw SQL; internal dependencies: approvals/approvalstore, audit, database, database/value
control-plane/internal/approvals/service_integration_test.go	test-fixture	Explicit fixture driver/SQL; canonical Backend calls compile; not runtime wiring
control-plane/internal/attestationtest/helper.go	test-fixture	Explicit fixture driver/SQL; canonical Backend calls compile; not runtime wiring
control-plane/internal/audit/chain.go	common-boundary	No driver/raw SQL; internal dependencies: audit/auditstore, coordination, database, database/value
control-plane/internal/audit/chain_integration_test.go	test-fixture	Explicit fixture driver/SQL; canonical Backend calls compile; not runtime wiring
control-plane/internal/auth/local.go	common-boundary	No driver/raw SQL; internal dependencies: authstore, database
control-plane/internal/auth/local_integration_test.go	test-fixture	Explicit fixture driver/SQL; canonical Backend calls compile; not runtime wiring
control-plane/internal/auth/local_lifecycle.go	common-boundary	No driver/raw SQL; internal dependencies: approvals, audit, authstore, database
control-plane/internal/auth/local_limits.go	common-boundary	No driver/raw SQL; internal dependencies: authstore, database
control-plane/internal/auth/local_limits_integration_test.go	test-fixture	Explicit fixture driver/SQL; canonical Backend calls compile; not runtime wiring
control-plane/internal/auth/local_password.go	common-boundary	No driver/raw SQL; internal dependencies: audit, authstore, database
control-plane/internal/auth/local_r4_integration_test.go	test-fixture	Explicit fixture driver/SQL; canonical Backend calls compile; not runtime wiring
control-plane/internal/auth/oidc_concurrency_integration_test.go	test-fixture	Explicit fixture driver/SQL; canonical Backend calls compile; not runtime wiring
control-plane/internal/auth/password_blocklist/README.md	non-database	Password dictionary/documentation keyword match; no executable database access
control-plane/internal/auth/password_blocklist/common-passwords.txt	non-database	Password dictionary/documentation keyword match; no executable database access
control-plane/internal/auth/service.go	common-boundary	No driver/raw SQL; internal dependencies: audit, authstore, database, database/value, identityprofile
control-plane/internal/auth/service_integration_test.go	test-fixture	Explicit fixture driver/SQL; canonical Backend calls compile; not runtime wiring
control-plane/internal/auth/service_test.go	test-fixture	Explicit fixture driver/SQL; canonical Backend calls compile; not runtime wiring
control-plane/internal/certificates/approval_test.go	test-fixture	Explicit fixture driver/SQL; canonical Backend calls compile; not runtime wiring
